,total_days,up_days,down_days,p_win,p_loss,avg_up_return,avg_down_return,odds_ratio,kelly_fraction,risk_adjusted_kelly,avg_volume,volume_std
OKX,14.0,8.0,6.0,0.5714285714285714,0.42857142857142855,0.016904052944515968,-0.01515568587851096,1.1153604713122218,0.18718380070685647,0.18718380070685647,133601.06362314284,42144.64477799791
Binance,14.0,8.0,6.0,0.5714285714285714,0.42857142857142855,0.01993816544707072,-0.022944614719745755,0.8689692849761503,0.0782334309545429,0.0782334309545429,671158.7705855846,161823.74676364966
Coinbase,14.0,6.0,8.0,0.42857142857142855,0.5714285714285714,0.01918572039432509,-0.017324588824445195,1.1074271712153894,-0.08742509587851313,0.0,106794.211505215,45669.87007497293
Kraken,14.0,6.0,8.0,0.42857142857142855,0.5714285714285714,0.019093690429533978,-0.017305491965596442,1.1033312700668954,-0.08934063186888279,0.0,26223.93543315286,11523.560885014806
